"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","103","0","G0SKA","IO91OQ","96913","129","93634","125","","3,4 %","2","0,2 %","0,0 %","0,0 %","ER5GB","2204","0","PWR(W): 400","TRX: FTDX10 plus lin","Ant: 6 ele Powabeam","ASL(m): 204","",
"SO 50 MHz","50 MHz","104","0","HA6NL","KN08TI","102772","68","92700","61","","9,8 %","3","5,0 %","31,1 %","0,0 %","G8T","1949","0","PWR(W): 100","TRX:","Ant: delta loop","ASL(m): 0","",
"SO 50 MHz","50 MHz","105","0","E74S","JN94AQ","100845","91","92228","85","","8,5 %","1","2,1 %","36,5 %","0,0 %","GM4ATA","2001","0","PWR(W): 300","TRX:","Ant: YAGI 6 el.","ASL(m): 190","",
"SO 50 MHz","50 MHz","106","0","SP2JMR","JO93AC","98980","75","91702","68","","7,4 %","1","1,6 %","0,0 %","0,0 %","ED5R","2093","0","PWR(W): 100","TRX:","Ant: 5 Y","ASL(m): 15","",
"SO 50 MHz","50 MHz","107","0","SP8DR","KO10RK","95469","62","91248","59","","4,4 %","1","1,9 %","0,0 %","0,0 %","ED5R","2234","0","PWR(W): 25","TRX:","Ant: LOOP","ASL(m): 300","",
"SO 50 MHz","50 MHz","108","0","EA3DHR/1","IN81JS","111334","70","91002","58","","18,3 %","1","1,3 %","0,0 %","0,0 %","LZ2ZY","2159","0","PWR(W): 100","TRX: Yaesu FT-736","Ant: 3el yagi","ASL(m): 650","",
"SO 50 MHz","50 MHz","109","0","YO2BLX","KN06SM","95992","80","90289","76","","5,9 %","3","4,9 %","100,0 %","0,0 %","SM2EKM","2160","0","PWR(W): 75","TRX:","Ant: 5 el yu7ef","ASL(m): -0","",
"SO 50 MHz","50 MHz","110","0","YO4NT","KN43GT","99187","68","89965","63","","9,3 %","1","1,2 %","73,0 %","0,0 %","EA3EBN","2150","0","PWR(W): 100","TRX:","Ant: Loop 84m","ASL(m): 40m","",
"SO 50 MHz","50 MHz","111","0","YU1AT","KN04ET","97585","83","88745","76","","9,1 %","3","4,5 %","31,6 %","0,0 %","MM2N","2107","0","PWR(W): 100","TRX:","Ant: Dipole","ASL(m): 75","",
"SO 50 MHz","50 MHz","112","0","EA1HRR","IN83JJ","95229","65","88601","61","","7,0 %","2","3,4 %","1,6 %","0,0 %","LZ2ZY","2119","0","PWR(W): 80","TRX:","Ant: MOXON","ASL(m): 15","",
"SO 50 MHz","50 MHz","113","0","S52LY","JN76AA","95724","89","87781","82","","8,3 %","2","3,5 %","0,0 %","0,0 %","4X2M","2318","0","PWR(W): 100","TRX: IC756pro3","Ant: 5.el Yagi","ASL(m): 800","",
"SO 50 MHz","50 MHz","114","0","LZ1IQ","KN12PQ","96108","69","87162","61","","9,3 %","1","1,2 %","36,1 %","0,0 %","G8T","2317","0","PWR(W): 25","TRX:","Ant: 3el DK7ZB","ASL(m): 600","",
"SO 50 MHz","50 MHz","115","0","MW8P","IO81HN","92208","78","86987","75","","5,7 %","2","0,2 %","0,0 %","0,0 %","YP8T","2300","0","PWR(W): 25","TRX: K3 + PA","Ant: 3 LFA","ASL(m): 140","",
"SO 50 MHz","50 MHz","116","0","OE4WHG","JN87DC","86197","62","82999","60","","3,7 %","2","3,8 %","0,0 %","0,0 %","4X2M","2247","0","PWR(W): 200","TRX:","Ant: 5 el  LFA","ASL(m): 337","",
"SO 50 MHz","50 MHz","117","0","IV3KKW","JN66IE","84524","116","82642","114","","2,2 %","2","2,6 %","3,5 %","0,0 %","CR5M","1740","0","PWR(W): 500","TRX:","Ant: 6 el. DK7ZB","ASL(m): 283","",
"SO 50 MHz","50 MHz","118","0","YO8BFB","KN36KR","88316","60","82619","56","","6,5 %","3","6,3 %","0,0 %","0,0 %","ED5R","2334","0","PWR(W): 100","TRX:","Ant: DK7ZB  2  EL","ASL(m):","",
"SO 50 MHz","50 MHz","119","0","OE3GRA/P","JN77VN","90920","112","81604","102","","10,2 %","3","5,1 %","0,0 %","0,0 %","4X2M","2308","0","PWR(W): 5","TRX:","Ant: 5 El Yagi","ASL(m): 1780","",
"SO 50 MHz","50 MHz","120","0","SV1SSK","KM18VA","90839","55","81210","50","","10,6 %","1","1,7 %","0,0 %","0,0 %","TM4A","2175","0","PWR(W): 80","TRX:","Ant: 4 el. yagi","ASL(m): 270","",
"SO 50 MHz","50 MHz","121","0","DH8WE","JO50TJ","86309","74","78949","68","","8,5 %","1","1,5 %","30,9 %","0,0 %","US4MAO","1999","0","PWR(W): 100","TRX:","Ant: 7 ele Yagi","ASL(m): 579m","",
"SO 50 MHz","50 MHz","122","0","DL5ME","JO52SD","82726","60","78908","57","","4,6 %","0","0,0 %","19,3 %","0,0 %","R6KA","1923","0","PWR(W): 400","TRX:","Ant: Yagi 6 Ele.","ASL(m):","",
"SO 50 MHz","50 MHz","123","0","DL6NBC/A","JN59HB","81326","71","78676","69","","3,3 %","2","3,1 %","55,1 %","0,0 %","UX3IW","1990","0","PWR(W): 350","TRX:","Ant: HB9CV","ASL(m): 462","",
"SO 50 MHz","50 MHz","124","0","DL2OE","JO72AJ","81199","68","76902","65","","5,3 %","2","2,6 %","35,4 %","0,0 %","CR5M","2074","0","PWR(W): 100","TRX:","Ant: 7ele yagi@12m","ASL(m): 0","",
"SO 50 MHz","50 MHz","125","0","LX1ER","JN29XV","80359","61","76452","57","","4,9 %","0","0,0 %","14,0 %","0,0 %","R6KA","2278","0","PWR(W): 100","TRX:","Ant: 4 el yagi EPS","ASL(m):","",
"SO 50 MHz","50 MHz","126","0","YO5BRE","KN07WB","84263","65","76348","59","","9,4 %","1","2,2 %","18,6 %","0,0 %","EA2XR","1993","0","PWR(W): 100","TRX:","Ant: 4 elem","ASL(m): 0","",
"SO 50 MHz","50 MHz","127","0","YU7AJM","JN95TI","77664","72","76302","71","","1,8 %","3","7,2 %","32,4 %","0,0 %","GM4ATA","2039","0","PWR(W): 100","TRX: Icom IC-7300","Ant: Yagi 5 el by YU7EF","ASL(m): 80","",
"SO 50 MHz","50 MHz","128","0","OE3MDB","JN88JB","80240","70","76057","66","","5,2 %","2","4,0 %","0,0 %","0,0 %","GM4DIJ/P","1677","0","PWR(W): 30","TRX:","Ant: 2 El","ASL(m): 150","",
"SO 50 MHz","50 MHz","129","0","UW1WU","KN29AT","82162","53","75141","48","","8,5 %","1","2,4 %","43,8 %","0,0 %","ED5R","2242","0","PWR(W): 50","TRX:","Ant: gp","ASL(m):","",
"SO 50 MHz","50 MHz","130","0","PE1EWR","JO11SL","79931","70","74949","64","","6,2 %","2","2,6 %","0,0 %","0,0 %","SV3RPQ","2062","0","PWR(W): 70","TRX:","Ant: 4-4EPS6 4","ASL(m): 0","",
"SO 50 MHz","50 MHz","131","0","IZ5HQB","JN53NS","88348","79","73407","66","","16,9 %","1","1,7 %","1,5 %","0,0 %","4X2M","2407","0","PWR(W): 50","TRX:","Ant: 3 ELEMENTI","ASL(m): 50","",
"SO 50 MHz","50 MHz","132","0","SP6DHH","JO80AS","76899","65","72916","61","","5,2 %","0","0,0 %","11,5 %","0,0 %","ED5I","1932","0","PWR(W): 100","TRX:","Ant: 3 el.YAGI","ASL(m):","",
"SO 50 MHz","50 MHz","133","0","YO7LDT","KN14WG","88061","57","71579","48","","18,7 %","2","6,2 %","0,0 %","0,0 %","GM4JTJ","2298","0","PWR(W): 100","TRX:","Ant: 3 el.YAGI","ASL(m): 175","",
"SO 50 MHz","50 MHz","134","0","YO5PEU","KN17FQ","85126","58","70867","48","","16,8 %","8","20,1 %","0,0 %","0,0 %","GM4TJ/P","2046","0","PWR(W): 100","TRX:","Ant: DIAMOND VX2000","ASL(m): 120","",
"SO 50 MHz","50 MHz","135","0","EA6AAU","JM19JK","100377","69","69469","49","","30,8 %","4","9,7 %","0,0 %","0,0 %","ER5GB","2188","0","PWR(W): 10","TRX: Yaesu FT-736","Ant: Vertical","ASL(m): 650","",
"SO 50 MHz","50 MHz","136","0","DP7D","JO32PC","71435","53","68060","51","","4,7 %","1","2,1 %","17,6 %","0,0 %","UT1IC","2209","0","PWR(W): 700","TRX:","Ant: 6 El. Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","137","0","YT1BX","KN03XH","74887","59","67830","53","","9,4 %","2","3,1 %","39,6 %","0,0 %","G8X","2100","0","PWR(W): 70","TRX:","Ant: dipole","ASL(m):","",
"SO 50 MHz","50 MHz","138","0","HB9TTY","JN37XG","77224","82","66314","71","","14,1 %","1","1,4 %","0,0 %","0,0 %","UW4E","2006","0","PWR(W): 100","TRX:","Ant: 5ele","ASL(m): 444m","",
"SO 50 MHz","50 MHz","139","0","DG5VG","JO71AG","83013","67","66204","54","","20,2 %","0","0,0 %","0,0 %","0,0 %","ED5I","1869","0","PWR(W): 100","TRX:","Ant: 5 Element Yagi Antenna","ASL(m):","",
"SO 50 MHz","50 MHz","140","0","UW5ZM","KN57WE","72225","49","64081","43","","11,3 %","1","3,2 %","100,0 %","0,0 %","ME5W","2589","0","PWR(W): 100","TRX:","Ant: 7el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","141","0","9A1AY","JN85QG","64260","65","62374","64","","2,9 %","4","5,9 %","0,0 %","0,0 %","4X2M","2056","0","PWR(W): 25","TRX:","Ant: LFA 5el","ASL(m): 132","",
"SO 50 MHz","50 MHz","142","0","9A5AFF","JN64WU","65194","53","61438","51","","5,8 %","3","7,0 %","0,0 %","0,0 %","GM4ODA/P","1954","0","PWR(W): 100","TRX:","Ant: 4el YU7EF","ASL(m): 20","",
"SO 50 MHz","50 MHz","143","0","DO1CS","JO60PO","63267","58","61094","55","","3,4 %","1","1,8 %","0,0 %","0,0 %","US4MAO","1880","0","PWR(W): 100","TRX:","Ant: Quad Antenna","ASL(m): 730","",
"SO 50 MHz","50 MHz","144","0","OE5FPL","JN68PG","67716","63","60725","57","","10,3 %","4","6,5 %","0,0 %","0,0 %","US4MAO","1911","0","PWR(W): 100","TRX:","Ant: 4 Element Yagi","ASL(m): 370","",
"SO 50 MHz","50 MHz","145","0","EA3CX","JN11DN","63242","50","60506","47","","4,3 %","0","0,0 %","31,9 %","0,0 %","YR8Y/P","1948","0","PWR(W): 100","TRX:","Ant: 4 EL YAGI","ASL(m): 173","",
"SO 50 MHz","50 MHz","146","0","EA3TJ","JN01WV","61514","46","59861","45","","2,7 %","1","2,6 %","0,0 %","0,0 %","D4L","3778","0","PWR(W): 75","TRX:","Ant: VERTICAL RINGO","ASL(m):","",
"SO 50 MHz","50 MHz","147","0","OK1FMD","JN79SX","65125","61","59518","57","","8,6 %","2","4,6 %","0,0 %","0,0 %","ED5I","1849","0","PWR(W): 100","TRX:","Ant: 4EL 12UP","ASL(m): 275","",
"SO 50 MHz","50 MHz","148","0","HB9CLN","JN37XA","63581","72","58930","66","","7,3 %","0","0,0 %","62,1 %","0,0 %","UT8EU","2026","0","PWR(W): 15","TRX:","Ant: 2-el-yagi","ASL(m):","",
"SO 50 MHz","50 MHz","149","0","G3VCQ","IO93GH","60139","49","58598","46","","2,6 %","2","2,5 %","15,2 %","0,0 %","YU5R","1937","0","PWR(W): 95","TRX: FTDX101MP","Ant: 3 EL LFA HOME BREW","ASL(m): 300m","",
"SO 50 MHz","50 MHz","150","0","YO7BKX","KN14TA","71128","52","58266","43","","18,1 %","0","0,0 %","0,0 %","0,0 %","GM4JTJ","2305","0","PWR(W): 80","TRX:","Ant: 4 el Yagi YU7EF","ASL(m): 67","",
"SO 50 MHz","50 MHz","151","0","YL2LW","KO26CW","60823","44","57802","42","","5,0 %","1","2,8 %","23,8 %","0,0 %","TM87C","2013","0","PWR(W): 100","TRX:","Ant: GP","ASL(m):","",
"SO 50 MHz","50 MHz","152","0","G8FMC","IO91NW","59497","64","57429","62","","3,5 %","1","0,3 %","0,0 %","0,0 %","YP8T","2131","0","PWR(W): 25","TRX: Elecraft K3s","Ant: 3 ele of dual-band","ASL(m): 115","",
"SO 50 MHz","50 MHz","153","0","DL9GK","JN59EE","57299","44","57299","44","","0,0 %","0","0,0 %","36,4 %","0,0 %","UX3IW","2006","0","PWR(W): 100","TRX:","Ant: Dipole","ASL(m): 450","",
"SO 50 MHz","50 MHz","154","0","YO2GL","KN05OS","71076","55","56666","46","","20,3 %","1","3,3 %","37,0 %","0,0 %","GM4DIJ/P","2098","0","PWR(W): 100","TRX:","Ant: DELTALOOP FOR 20M","ASL(m): 95","",
"SO 50 MHz","50 MHz","155","0","YO2LLZ","KN05IS","58205","68","56073","66","","3,7 %","3","5,0 %","0,0 %","0,0 %","EA3DHR/1","1964","0","PWR(W): 100","TRX:","Ant: 6 ELEMNT","ASL(m): 80","",
"SO 50 MHz","50 MHz","156","0","PA3HFJ","JO11VL","55300","44","55127","43","","0,3 %","0","0,0 %","0,0 %","0,0 %","SV3RPQ","2049","0","PWR(W): 100","TRX:","Ant: 5 el.beam","ASL(m):","",
"SO 50 MHz","50 MHz","157","0","LZ6DX","KN23IF","54923","38","54923","38","","0,0 %","0","0,0 %","0,0 %","0,0 %","EA5DF","2139","0","PWR(W): 100","TRX:","Ant: 5 element yagi","ASL(m):","",
"SO 50 MHz","50 MHz","158","0","YO9BCM","KN35JD","56668","52","54014","50","","4,7 %","1","2,5 %","0,0 %","0,0 %","EA3LA","1950","0","PWR(W): 50","TRX:","Ant: 2 EL QUAD","ASL(m): 30","",
"SO 50 MHz","50 MHz","159","0","OK1LI","JO70IA","58809","63","53178","58","","9,6 %","0","0,0 %","0,0 %","0,0 %","ED5I","1806","0","PWR(W): 50","TRX:","Ant: diamond V 2000","ASL(m):","",
"SO 50 MHz","50 MHz","160","0","S50J","JN65VO","61738","59","52555","51","","14,9 %","1","3,2 %","37,3 %","0,0 %","4X2M","2310","0","PWR(W): 100","TRX:","Ant: 3el","ASL(m): 150m","",
"SO 50 MHz","50 MHz","161","0","HB9AOF","JN36LM","53472","55","52325","54","","2,1 %","2","2,1 %","16,7 %","0,0 %","OH5Z","2021","0","PWR(W): 100","TRX:","Ant: 5 elts","ASL(m): 1200","",
"SO 50 MHz","50 MHz","162","0","SP6OWY","JO80FU","59681","43","52246","38","","12,5 %","3","6,8 %","5,3 %","0,0 %","ED5I","1961","0","PWR(W): 100","TRX:","Ant: Hexbeam","ASL(m):","",
"SO 50 MHz","50 MHz","163","0","DK4VW","JO40IT","53635","43","51642","41","","3,7 %","0","0,0 %","0,0 %","0,0 %","US4MAO","2200","0","PWR(W): 500","TRX:","Ant: Moxon 2 ele","ASL(m): 362","",
"SO 50 MHz","50 MHz","164","0","HB9BKT","JN46WX","59213","57","51547","50","","12,9 %","0","0,0 %","8,0 %","0,0 %","OH5Z","1865","0","PWR(W): 100","TRX:","Ant: HB9CV, DF6SJ","ASL(m): 2060","",
"SO 50 MHz","50 MHz","165","0","S51ZO","JN86DR","49968","82","48831","79","","2,3 %","1","3,0 %","8,9 %","0,0 %","4X2M","2221","0","PWR(W): 100","TRX: TS-590SG","Ant: 2x8el YU7EF","ASL(m):","",
"SO 50 MHz","50 MHz","166","0","DK5DQ","JO31QH","48023","45","48023","45","","0,0 %","1","0,2 %","28,9 %","0,0 %","UX0FF","1712","0","PWR(W): 100","TRX:","Ant: 4el Yagi","ASL(m): 360","",
"SO 50 MHz","50 MHz","167","0","SV8/HB9FIH","KM39GB","69923","41","47871","29","","31,5 %","2","8,2 %","10,3 %","0,0 %","G0VV/P","2371","0","PWR(W): 50","TRX:","Ant: Halo DIY","ASL(m): 0","",
"SO 50 MHz","50 MHz","168","0","PF5X","JO21WR","47705","36","47386","35","","0,7 %","0","0,0 %","51,4 %","0,0 %","UT8EU","2113","0","PWR(W): 120","TRX:","Ant: 4-el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","169","0","M7RWK/P","IO92LH","52519","60","46888","55","","10,7 %","2","2,8 %","0,0 %","0,0 %","Z3A","2146","0","PWR(W): 25","TRX:","Ant: 3 Element Yagi","ASL(m): 137","",
"SO 50 MHz","50 MHz","170","0","G1JJA","IO92AH","48256","46","46291","44","","4,1 %","1","0,2 %","0,0 %","0,0 %","YP8T","2208","0","PWR(W): 90","TRX: FT 450","Ant: 3 ele","ASL(m): 155","",
"SO 50 MHz","50 MHz","171","0","DF9PX","JO30MS","48788","45","45891","41","","5,9 %","0","0,0 %","0,0 %","0,0 %","SV3RPQ","1827","0","PWR(W): 400","TRX:","Ant: 7El Log Periodic","ASL(m): 69","",
"SO 50 MHz","50 MHz","172","0","OE3PYC","JN88GE","45814","38","45814","38","","0,0 %","1","3,5 %","0,0 %","0,0 %","EI8KN","1746","0","PWR(W): 10","TRX:","Ant: 4-el Yagi fiA¿A½r 6m","ASL(m): 156","",
"SO 50 MHz","50 MHz","173","0","GW8TVX","IO71XP","52402","37","45673","33","","12,8 %","0","0,0 %","0,0 %","0,0 %","Z3A","2306","0","PWR(W): 100","TRX: FT950","Ant: 4EL Yagi","ASL(m): 90","",
"SO 50 MHz","50 MHz","174","0","S52ZD","JN75TV","59519","70","45174","58","","24,1 %","1","3,9 %","36,2 %","0,0 %","US4MAO","1805","0","PWR(W): 100","TRX:","Ant: 5. el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","175","0","IZ0CKJ","JN61QO","49968","37","44540","33","","10,9 %","0","0,0 %","12,1 %","0,0 %","CR5M","1764","0","PWR(W): 100","TRX:","Ant: YAGI","ASL(m): 300","",
"SO 50 MHz","50 MHz","176","0","YO2KJG","KN04UQ","48888","53","44313","48","","9,4 %","0","0,0 %","45,8 %","0,0 %","G8T","2100","0","PWR(W): 100","TRX:","Ant: 4 EL YAGI","ASL(m):","",
"SO 50 MHz","50 MHz","177","0","PA1BK","JO33BC","49542","39","42381","33","","14,5 %","0","0,0 %","0,0 %","0,0 %","Z3A","1791","0","PWR(W): 100","TRX:","Ant: FB13 Dipoles","ASL(m):","",
"SO 50 MHz","50 MHz","178","0","LZ2EHO","KN13NF","49516","40","42285","34","","14,6 %","0","0,0 %","0,0 %","0,0 %","ED5R","1978","0","PWR(W): 10","TRX:","Ant: 4 el. Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","179","0","DL4KUG","JO64PB","44932","33","40942","30","","8,9 %","0","0,0 %","26,7 %","0,0 %","9H1PI","2018","0","PWR(W): 80","TRX:","Ant: 6 el Yagi","ASL(m): 35","",
"SO 50 MHz","50 MHz","180","0","DG6ME","JO51KV","40183","28","40183","28","","0,0 %","0","0,0 %","21,4 %","0,0 %","R6KA","1961","0","PWR(W): 90","TRX:","Ant: Halo-Antenne","ASL(m): 172","",
"SO 50 MHz","50 MHz","181","0","M0AGP","IO91SG","41947","43","39975","41","","4,7 %","1","0,6 %","14,6 %","0,0 %","YP8T","2097","0","PWR(W): 1000","TRX:","Ant: 30m dipole!","ASL(m): 200","",
"SO 50 MHz","50 MHz","182","0","OE1CIW","JN88EE","40646","40","39798","39","","2,1 %","1","3,5 %","64,1 %","0,0 %","SM2EKM","1999","0","PWR(W): 100","TRX:","Ant: 2 el wire moxon","ASL(m): 180 m","",
"SO 50 MHz","50 MHz","183","0","IK3WOI","JN55UU","39926","53","38987","51","","2,4 %","1","2,9 %","0,0 %","0,0 %","4X2M","2464","0","PWR(W): 100","TRX:","Ant: 4 element","ASL(m): 1200","",
"SO 50 MHz","50 MHz","184","0","SP9JBE","KN09AR","43794","29","38754","26","","11,5 %","0","0,0 %","7,7 %","0,0 %","ED5R","1982","0","PWR(W): 50","TRX:","Ant: Moxon","ASL(m):","",
"SO 50 MHz","50 MHz","185","0","SV4MLF","KM09VN","66867","43","38664","28","","42,2 %","0","0,0 %","0,0 %","0,0 %","OV1RR","1914","0","PWR(W): 100","TRX:","Ant: Hand made V DIPOLE","ASL(m):","",
"SO 50 MHz","50 MHz","186","0","GM1X","IO67IN","41885","22","38110","20","","9,0 %","0","0,0 %","0,0 %","0,0 %","YT0A","2412","0","PWR(W): 100","TRX: TS590SG","Ant: 4 E Yagi","ASL(m): 8","",
"SO 50 MHz","50 MHz","187","0","OE5DIN","JN78BL","37900","41","37900","41","","0,0 %","1","0,1 %","14,6 %","0,0 %","US4MAO","1846","0","PWR(W): 30","TRX:","Ant: Dipol","ASL(m): 820","",
"SO 50 MHz","50 MHz","188","0","PC2K","JO22QF","41609","29","37590","26","","9,7 %","1","1,3 %","0,0 %","0,0 %","UW4E","2116","0","PWR(W): 120","TRX:","Ant: OB-17-4","ASL(m): 20","",
"SO 50 MHz","50 MHz","189","0","YU1LG","KN04OO","37513","43","36128","41","","3,7 %","0","0,0 %","65,9 %","0,0 %","EA5DF","1876","0","PWR(W): 100","TRX:","Ant: YAGI 6el","ASL(m): 80","",
"SO 50 MHz","50 MHz","190","0","S53BB","JN76HD","37142","37","34714","35","","6,5 %","2","4,9 %","42,9 %","0,0 %","UX3IW","1766","0","PWR(W): 100","TRX:","Ant: 5el","ASL(m):","",
"SO 50 MHz","50 MHz","191","0","IW2NEF","JN46QD","34602","30","34602","30","","0,0 %","0","0,0 %","0,0 %","0,0 %","R6KA","2044","0","PWR(W): 100","TRX:","Ant: HB9","ASL(m): 220","",
"SO 50 MHz","50 MHz","192","0","DL5BAW","JO43JB","39758","34","34502","30","","13,2 %","0","0,0 %","20,0 %","0,0 %","UW4E","1888","0","PWR(W): 90","TRX:","Ant: 4 Element Yagi","ASL(m): 12","",
"SO 50 MHz","50 MHz","193","0","IT9LTA/I0","JN61EV","37201","27","34223","25","","8,0 %","1","4,8 %","0,0 %","0,0 %","MW8R","1679","0","PWR(W): 5","TRX:","Ant: JPOLE","ASL(m): 100","",
"SO 50 MHz","50 MHz","194","0","DL1EMA","JO31ES","35519","30","33659","28","","5,2 %","0","0,0 %","21,4 %","0,0 %","UW4E","2049","0","PWR(W): 80","TRX:","Ant: Moxon","ASL(m): 0","",
"SO 50 MHz","50 MHz","195","0","YU1LA","KN04FR","37648","41","33439","37","","11,2 %","0","0,0 %","29,7 %","0,0 %","EA2XR","1885","0","PWR(W): 10","TRX:","Ant: A4S 10 15 20 beam","ASL(m): 128","",
"SO 50 MHz","50 MHz","196","0","OE3KAR","JN88EI","38752","34","33408","30","","13,8 %","1","4,2 %","0,0 %","0,0 %","MM2N","1618","0","PWR(W): 100","TRX:","Ant: homemade Moxxon","ASL(m): 168","",
"SO 50 MHz","50 MHz","197","0","IZ8CLM","JN70FS","36749","24","33351","22","","9,2 %","1","5,5 %","0,0 %","0,0 %","GM2T","2074","0","PWR(W): 300","TRX:","Ant: 5 elem yagi","ASL(m): 80","",
"SO 50 MHz","50 MHz","198","0","HB9CNY","JN37SH","41952","42","33320","36","","20,6 %","0","0,0 %","0,0 %","0,0 %","UX0FF","1646","0","PWR(W): 100","TRX:","Ant: 5 ELEMENT YAGI","ASL(m):","",
"SO 50 MHz","50 MHz","199","0","DL1NEO","JN59KV","33128","26","33128","26","","0,0 %","1","0,2 %","23,1 %","0,0 %","US4MAO","2058","0","PWR(W): 750","TRX:","Ant: 6el-Yagi","ASL(m): 315","",
"SO 50 MHz","50 MHz","200","0","EA5DIT","IM99CD","45503","25","32976","18","","27,5 %","0","0,0 %","0,0 %","0,0 %","YR5C","2162","0","PWR(W): 100","TRX:","Ant: DIR -6 ELE","ASL(m):","",
"SO 50 MHz","50 MHz","201","0","DH1OT","JO62WL","34211","27","32505","25","","5,0 %","0","0,0 %","0,0 %","0,0 %","UX3IW","1751","0","PWR(W): 300","TRX:","Ant: 6 elem Yagi","ASL(m): 0","",
"SO 50 MHz","50 MHz","202","0","DL2RZG","JO52VB","31974","26","31974","26","","0,0 %","1","0,6 %","0,0 %","0,0 %","CT7BIZ","1950","0","PWR(W): 100","TRX:","Ant: Moxon","ASL(m): 0","",
"SO 50 MHz","50 MHz","203","0","SP8XXN","KO02LC","35141","23","31262","20","","11,0 %","0","0,0 %","0,0 %","0,0 %","ED5R","2178","0","PWR(W): 100","TRX:","Ant: dipole","ASL(m):","",
"SO 50 MHz","50 MHz","204","0","G0SDM","IO92VV","37984","32","31157","24","","18,0 %","1","0,4 %","16,7 %","0,0 %","YP8T","2098","0","PWR(W): 100","TRX: IC 7610","Ant: HB9CV","ASL(m): 7","",
"SO 50 MHz","50 MHz","205","0","HA3GO","JN86ML","31182","35","30971","34","","0,7 %","0","0,0 %","97,1 %","0,0 %","SM2EKM","2182","0","PWR(W): 75","TRX:","Ant: Windom","ASL(m): 160","",
"SO 50 MHz","50 MHz","206","0","SV2RZJ","KN10VK","36090","25","30931","21","","14,3 %","0","0,0 %","0,0 %","0,0 %","EA5DF","2070","0","PWR(W): 100","TRX:","Ant: VERTICAL","ASL(m):","",
"SO 50 MHz","50 MHz","207","0","HA5OLA","JN97IL","30809","24","30809","24","","0,0 %","2","10,9 %","0,0 %","0,0 %","EI8KN","1926","0","PWR(W): 10","TRX:","Ant: one 4 element Yagi","ASL(m): 140","",
"SO 50 MHz","50 MHz","208","0","OK1VM","JO60VR","35639","45","30364","39","","14,8 %","5","21,6 %","61,5 %","0,0 %","US4MAO","1844","0","PWR(W): 10","TRX:","Ant: 4y","ASL(m): 870","",
"SO 50 MHz","50 MHz","209","0","HB9CIC","JN47HQ","31974","33","29763","31","","6,9 %","0","0,0 %","19,4 %","0,0 %","LZ2QA","1604","0","PWR(W): 100","TRX:","Ant: HB9CV","ASL(m): 450m","",
"SO 50 MHz","50 MHz","210","0","IZ2QGF","JN45LR","32295","26","29762","24","","7,8 %","0","0,0 %","0,0 %","0,0 %","UX0FF","1548","0","PWR(W): 100","TRX:","Ant: yagi 5 elements","ASL(m): 460","",
"SO 50 MHz","50 MHz","211","0","G4BCA","IO81VV","29506","23","29506","23","","0,0 %","0","0,0 %","60,9 %","0,0 %","Z3A","2199","0","PWR(W): 70","TRX: IC-7300","Ant: Loft dipole","ASL(m): 33","",
"SO 50 MHz","50 MHz","212","0","9A0S","JN85GU","29461","26","29461","26","","0,0 %","2","11,4 %","0,0 %","0,0 %","MM2N","1812","0","PWR(W): 100","TRX:","Ant: 4el","ASL(m):","",
"SO 50 MHz","50 MHz","213","0","TA0G","KM39AT","40861","25","29277","17","","28,3 %","1","6,4 %","0,0 %","0,0 %","EA5DF","2268","0","PWR(W): 500","TRX:","Ant: 5 EL YAGI","ASL(m):","",
"SO 50 MHz","50 MHz","214","0","F4HOG","JN09OJ","41830","41","28995","31","","30,7 %","0","0,0 %","0,0 %","0,0 %","LZ1ZP","1983","0","PWR(W): 100","TRX: FT 847","Ant: ANT 50 DK7ZB 3A(c)lA(c)ments Om","ASL(m): 155","",
"SO 50 MHz","50 MHz","215","0","YT7XT","JN95TI","29492","22","27919","21","","5,3 %","2","13,5 %","0,0 %","0,0 %","GM0ULK/P","1988","0","PWR(W): 100","TRX: FT-857D","Ant: 4element DK7ZB V;yagi","ASL(m): 82","",
"SO 50 MHz","50 MHz","216","0","IK2RHE","JN45QA","34916","35","27278","27","","21,9 %","0","0,0 %","7,4 %","0,0 %","UW4E","1978","0","PWR(W): 90","TRX:","Ant: 4el","ASL(m): 270","",
"SO 50 MHz","50 MHz","217","0","OE4EIE","JN87CE","30625","25","27256","23","","11,0 %","2","11,4 %","4,3 %","0,0 %","CR5M","2024","0","PWR(W): 100","TRX:","Ant: 5el","ASL(m): 0","",
"SO 50 MHz","50 MHz","218","0","9A2KI","JN95BF","29099","26","27151","25","","6,7 %","2","11,9 %","60,0 %","0,0 %","4X2M","2007","0","PWR(W): 100","TRX: ICOM IC-706MKIIg","Ant: inverted vee","ASL(m): 184","",
