"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","LL Squares","CC LL Squares","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","1","0","9A6A","JN83MM","0","0","822184","32","","","","0,0 %","15","2,9 %","0,0 %","0,0 %","EA7Y","2178","0","PWR(W): 10","TRX:","Ant: 5 el Yagi DK7ZB","ASL(m):","",
"SO 70 MHz","70 MHz","2","0","SV2DCD","KN00MM","0","0","15090","3","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","EA7B","2297","0","PWR(W): 80","TRX:","Ant: 9el","ASL(m):","",
"SO 70 MHz","70 MHz","3","0","LZ1ZP","KN22MM","0","0","2104","2","","","","0,0 %","0","0,0 %","0,0 %","0,0 %","9A6A","660","0","PWR(W): 50","TRX:","Ant: 5el. yagi","ASL(m):","",
"6H 70 MHz","70 MHz","1","0","9H1PI","JM75MM","0","0","244255","14","","","","0,0 %","10","6,4 %","0,0 %","0,0 %","EB1B","1926","0","PWR(W): 100","TRX:","Ant: 5 Elem Yagi","ASL(m):","",
"6H 70 MHz","70 MHz","2","0","E70AA","JN93MM","0","0","37710","12","","","","0,0 %","4","2,5 %","0,0 %","0,0 %","DJ5MN","831","0","PWR(W): 50","TRX:","Ant: Moxon","ASL(m):","",
"6H 70 MHz","70 MHz","3","0","EI8KN","IO62MM","0","0","9290","5","","","","0,0 %","4","16,8 %","0,0 %","0,0 %","G3YHM","471","0","PWR(W): 50","TRX:","Ant: 6 ele Dual","ASL(m):","",
