"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","25","0","S50TA","JN76HD","13326","41","12995","40","","2,5 %","0","0,0 %","80,0 %","0,0 %","IS0JHQ","738","0","PWR(W): 50","TRX: XVRT","Ant: 49","ASL(m): 304","",
"SO 1.3 GHz","1.3 GHz","26","0","9A6AR","JN64VV","16034","41","12549","34","","21,7 %","0","0,0 %","94,1 %","0,0 %","OK1KKL","645","0","PWR(W): 250","TRX: db6nt","Ant: Yagi 4 x 36 el","ASL(m): 39","",
"SO 1.3 GHz","1.3 GHz","27","0","DK9TF","JO31NF","13026","52","12304","50","","5,5 %","0","0,0 %","36,0 %","0,0 %","OM6A","863","0","PWR(W): 150","TRX:","Ant: 2m dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","28","0","DL6SH","JN48SW","13376","37","11971","34","","10,5 %","0","0,0 %","14,7 %","0,0 %","HG7F","703","0","PWR(W): 300","TRX:","Ant: 180cm Spiegel","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","29","0","DL2FQ","JN49EW","13208","38","11716","35","","11,3 %","0","0,0 %","40,0 %","0,0 %","OM3KII","686","0","PWR(W): 60","TRX:","Ant: 36 el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","30","0","DL6NAQ","JO40XI","11718","46","11557","45","","1,4 %","0","0,0 %","6,7 %","0,0 %","OM6A","650","0","PWR(W): 200","TRX:","Ant: Spiegel 2 Meter","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","31","0","DG5BRE","JO62VM","12763","48","11187","44","","12,3 %","0","0,0 %","20,5 %","0,0 %","SP7EXY","553","0","PWR(W): 100","TRX:","Ant: 1,5m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","32","0","DK1RS","JO60MM","11330","53","11015","52","","2,8 %","0","0,0 %","9,6 %","0,0 %","HG7F","526","0","PWR(W): 25","TRX:","Ant: 12,5wl Yagi (36el.)","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","33","0","G3XDY","JO02OB","13063","27","10741","23","","17,8 %","4","10,2 %","26,1 %","0,0 %","DM5D","836","0","PWR(W): 100","TRX: K3","Ant: Yagi","ASL(m): 40m","",
"SO 1.3 GHz","1.3 GHz","34","0","DJ8MS","JO54VC","12244","30","10694","27","","12,7 %","0","0,0 %","59,3 %","0,0 %","G3XDY","742","0","PWR(W): 200","TRX:","Ant: 67 el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","35","0","DD5DX","JO61CA","10354","49","9927","47","","4,1 %","0","0,0 %","0,0 %","0,0 %","S59P","566","0","PWR(W): 10","TRX:","Ant: 2x28ele","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","36","0","S51WX","JN75OS","9776","31","9776","31","","0,0 %","0","0,0 %","96,8 %","0,0 %","DG5NFF","650","0","PWR(W): 100","TRX:","Ant: 1m dish","ASL(m): 201 m","",
"SO 1.3 GHz","1.3 GHz","37","0","OK1DQT","JN79IX","9999","48","9748","47","","2,5 %","0","0,0 %","51,1 %","0,0 %","HA8V","561","0","PWR(W): 9","TRX:","Ant: 67 el. DL6WU","ASL(m): 436","",
"SO 1.3 GHz","1.3 GHz","38","0","DK4VW","JO40IT","11301","38","9602","34","","15,0 %","0","0,0 %","29,4 %","0,0 %","OM6A","746","0","PWR(W): 100","TRX:","Ant: 18 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","39","0","9A6A","JN83GE","10186","24","9492","22","","6,8 %","1","2,3 %","86,4 %","0,0 %","OK2KYZ","766","0","PWR(W): 70","TRX:","Ant: 1,8m Dish","ASL(m): 405","",
"SO 1.3 GHz","1.3 GHz","40","0","OK2BMU","JN99CT","9957","42","9479","41","","4,8 %","0","0,0 %","80,5 %","0,0 %","DG5NFF","570","0","PWR(W): 10","TRX: IC-9700","Ant: 67el.Wimo","ASL(m): 240","",
"SO 1.3 GHz","1.3 GHz","41","0","DC8RI","JN68JQ","8881","30","8233","28","","7,3 %","0","0,0 %","0,0 %","0,0 %","OP5Y/P","610","0","PWR(W): 150","TRX:","Ant: 43Elm","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","42","0","DJ6OL","JO52AP","8723","31","7949","29","","8,9 %","0","0,0 %","24,1 %","0,0 %","OM6A","729","0","PWR(W): 80","TRX:","Ant: 67 Ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","43","0","DL8R","JN58HW","7797","27","7797","27","","0,0 %","0","0,0 %","0,0 %","0,0 %","OM6A","596","0","PWR(W): 400","TRX:","Ant: 2x43Element","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","44","0","I1KFH","JN45FG","7541","18","7541","18","","0,0 %","0","0,0 %","44,4 %","0,0 %","OM3KII","806","0","PWR(W): 150","TRX: TRXV DB6NT HM","Ant: 1,9 MT DISH","ASL(m): 120","",
"SO 1.3 GHz","1.3 GHz","45","0","DL4MW","JO50KQ","7423","25","7423","25","","0,0 %","0","0,0 %","64,0 %","0,0 %","OM6A","594","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","46","0","YO5AVN","KN17WW","6896","16","6896","16","","0,0 %","1","5,5 %","100,0 %","0,0 %","OK1KUO","597","0","PWR(W): 100","TRX:","Ant: F9FT","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","47","0","OM3CQF","JN88RT","6773","42","6666","41","","1,6 %","0","0,0 %","29,3 %","0,0 %","DG5NFF","553","0","PWR(W): 8","TRX:","Ant: F9FT 38el","ASL(m): 622","",
"SO 1.3 GHz","1.3 GHz","48","0","OM5CM","JN98DF","6662","31","6662","31","","0,0 %","0","0,0 %","80,6 %","0,0 %","IK3GHY","547","0","PWR(W): 10","TRX: IC9700","Ant: 55el.F9FT","ASL(m): 165","",
"SO 1.3 GHz","1.3 GHz","49","0","DC6CX/P","JO31SE","6325","34","6325","34","","0,0 %","2","0,8 %","8,8 %","0,0 %","OK1KUO","637","0","PWR(W): 250","TRX:","Ant: Antenna Amplifiers PA","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","50","0","DL4DTU","JO61TB","8596","43","6314","36","","26,5 %","1","2,7 %","38,9 %","0,0 %","HA2ML","508","0","PWR(W): 200","TRX:","Ant: 1,5m Spiegel","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","51","0","OK1FEN","JO70NA","6045","41","6045","41","","0,0 %","0","0,0 %","48,8 %","0,0 %","S59P","386","0","PWR(W): 10","TRX: HM transv 1FEN + PA","Ant: soufaz 1VPZ","ASL(m): 338","",
"SO 1.3 GHz","1.3 GHz","52","0","DJ3AK","JO52GJ","6040","24","6040","24","","0,0 %","1","0,7 %","29,2 %","0,0 %","G4ZTR","661","0","PWR(W): 200","TRX:","Ant: 48el","ASL(m):","",
