"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","25","0","OE3CIN","JN88FO","130","3","130","3","","0,0 %","3","100,0 %","0,0 %","0,0 %","OM3KVW","59","0","PWR(W): 50","TRX:","Ant: 14el Yagi","ASL(m): 230","",
"MO 70 MHz","70 MHz","1","0","G2L","IO91SX","10301","62","10129","61","","1,7 %","11","11,0 %","0,0 %","0,0 %","GM4ZUK/P","568","0","PWR(W): 160","TRX: K3 DB6NT Gemini","Ant: 2 X 6el LFA","ASL(m): 76M","",
"MO 70 MHz","70 MHz","2","0","G4RFR","IO90AS","5727","29","5727","29","","0,0 %","2","0,6 %","0,0 %","0,0 %","GM4ZUK/P","687","0","PWR(W): 130","TRX: IC-7300 + Gemini4 Linear","Ant: 12 Ele Yagi","ASL(m): 45m","",
"MO 70 MHz","70 MHz","3","0","M1L","IO91AU","5456","38","5456","38","","0,0 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","567","0","PWR(W): 50","TRX: IC-7300","Ant: 5 Ele Powabeam","ASL(m): 250","",
"MO 70 MHz","70 MHz","4","0","G1KAR/P","JO00DR","2043","10","2043","10","","0,0 %","2","18,5 %","0,0 %","0,0 %","G4G","403","0","PWR(W): 50","TRX: Icom IC-7300","Ant: 4m 7 Element LFA","ASL(m): 147","",
"MO 70 MHz","70 MHz","5","0","PA3CSG","JO21WD","1845","6","1723","5","","6,6 %","0","0,0 %","20,0 %","0,0 %","G8XVJ/P","579","0","PWR(W): 50","TRX:","Ant: 6 el","ASL(m): 35","",
"CHECKLOG 70 MHz","70 MHz","","0","S57TW","JN75EX","","13","","13","","","","","","","YU7EF","524","0","PWR(W): 100","TRX:","Ant: 8el LFA","ASL(m):","",
"6H 70 MHz","70 MHz","1","0","EI8KN","IO62IE","5443","13","5443","13","","0,0 %","0","0,0 %","7,7 %","0,0 %","GM4ZUK/P","611","0","PWR(W): 50","TRX:","Ant: 6 element","ASL(m): 0","",
"6H 70 MHz","70 MHz","2","0","E70AA","JN93DQ","2329","7","2329","7","","0,0 %","0","0,0 %","71,4 %","0,0 %","HA5UA","441","0","PWR(W): 50","TRX:","Ant: 4-element Yagi","ASL(m): 1685","",
"6H 70 MHz","70 MHz","3","0","OP2C","JO20CU","1433","5","1207","3","","15,8 %","0","0,0 %","0,0 %","0,0 %","G8XVJ/P","493","0","PWR(W): 50","TRX:","Ant: 4elt yagi","ASL(m): 20","",
"6H 70 MHz","70 MHz","4","0","HB9HLM","JN36KW","313","5","313","5","","0,0 %","5","100,0 %","20,0 %","0,0 %","HB9CLN","102","0","PWR(W): 10","TRX:","Ant: 5 + 6 el","ASL(m): 491","",
"6H 70 MHz","70 MHz","5","0","EA5TT","IM99SL","312","2","312","2","","0,0 %","1","97,1 %","50,0 %","0,0 %","EA4KM","303","0","PWR(W): 50","TRX:","Ant: 4 elements yagi","ASL(m): 50","",
"6H 70 MHz","70 MHz","6","0","9H1PI","JM75FW","12","1","12","1","","0,0 %","1","100,0 %","100,0 %","0,0 %","9H1AV","12","0","PWR(W): 50","TRX:","Ant: 5 Elem Yagi","ASL(m):","",
"6H 70 MHz","70 MHz","7","0","EA5FLS","IM99TK","9","1","9","1","","0,0 %","0","0,0 %","0,0 %","0,0 %","EA5TT","9","0","PWR(W): 10","TRX:","Ant: Yagui 4 el","ASL(m):","",
